DOMINANT STRATEGY GAME

0 is G3, 1 is G4
matrix, X0, X_eq,delta_g,step to eq,max_gain,gain integral
0 , 0.8 , 0.4 , 0.5 , 27 , 2.50000007374746 , 11.90217999798203
0 , 0.8 , 0.4 , 1 , 25 , 2.8862873828924442 , 11.479641440566922
0 , 0.8 , 0.4 , 5 , 24 , 3.224060664606061 , 11.375299879841702
0 , 0.4 , 0.8 , 0.5 , 25 , 0.6249999772823542 , 2.6343508386454553
0 , 0.4 , 0.8 , 1 , 25 , 0.624999977282212 , 2.6343508380047043
0 , 0.4 , 0.8 , 5 , 25 , 0.6249999772821676 , 2.634350838054555
1 , 0.8 , 0.4 , 0.5 , 0 , 2.0515786731278145 , 0.0
1 , 0.8 , 0.4 , 1 , 36 , 4.194697121212344 , 22.82021110086129
1 , 0.8 , 0.4 , 5 , 27 , 4.184855579297168 , 15.252688456616589
1 , 0.4 , 0.8 , 0.5 , 0 , 2.2227094143256902 , 0.0
1 , 0.4 , 0.8 , 1 , 0 , 2.222709414076176 , 0.0
1 , 0.4 , 0.8 , 5 , 0 , 2.222709414025213 , 0.0

0 is G2, 1 is G1
matrix, X0, X_eq,delta_g,step to eq,max_gain,gain integral
0 , 0.4 , 0.8 , 0.5 , 44 , 3.1727246468455026 , 30.919684417049787
0 , 0.4 , 0.8 , 1 , 41 , 3.418105603507254 , 29.826965316925047
0 , 0.4 , 0.8 , 5 , 39 , 4.005370979243295 , 29.271039234646857
0 , 0.8 , 0.4 , 0.5 , 27 , 0.8333333301806005 , 3.4961993483163316
0 , 0.8 , 0.4 , 1 , 27 , 0.8333333301804008 , 3.496199340017577
0 , 0.8 , 0.4 , 5 , 27 , 0.8333333301803373 , 3.4961993396990807
1 , 0.4 , 0.8 , 0.5 , 29 , 3.0331106125826803 , 9.85970574007016
1 , 0.4 , 0.8 , 1 , 26 , 3.1533568998318287 , 8.743624633440506
1 , 0.4 , 0.8 , 5 , 24 , 3.6994233755656007 , 8.04657358039995
1 , 0.8 , 0.4 , 0.5 , 36 , 1.2499906352996062 , 8.038103591881313
1 , 0.8 , 0.4 , 1 , 36 , 1.249990635299504 , 8.038103590297913
1 , 0.8 , 0.4 , 5 , 36 , 1.2499906352994747 , 8.03810359017997



ANTI-COORDINATION GAME

case with G3
matrix, X0, X_eq,delta_g,step to eq,max_gain,gain integral
0 , 0.8 , 0.3 , 0.5 , 25 , 2.5000000700045253 , 13.068780641453992
0 , 0.8 , 0.3 , 1 , 24 , 2.9999999545681364 , 13.301675585387606
0 , 0.8 , 0.3 , 5 , 23 , 3.5302834703804247 , 13.441270286972145
0 , 0.5 , 0.3 , 0.5 , 23 , 2.117386662461773 , 11.649851725056847
0 , 0.5 , 0.3 , 1 , 22 , 2.190279842815485 , 11.659489174603006
0 , 0.5 , 0.3 , 5 , 21 , 2.412871617505126 , 11.48831700970486
0 , 0.1 , 0.3 , 0.5 , 27 , 1.8331638431442165 , 13.081814991682734
0 , 0.1 , 0.3 , 1 , 27 , 1.8331522941283052 , 13.454615572189224
0 , 0.1 , 0.3 , 5 , 27 , 1.8331474438170334 , 13.64745166391103
case with G2
matrix, X0, X_eq,delta_g,step to eq,max_gain,gain integral
0 , 0.8 , 0.6 , 0.5 , 23 , 0.9999999980456525 , 5.781640218707565
0 , 0.8 , 0.6 , 1 , 24 , 0.9999999980126015 , 6.098639996503923
0 , 0.8 , 0.6 , 5 , 24 , 0.999999998012067 , 6.098639997286763
0 , 0.4 , 0.6 , 0.5 , 21 , 1.500000026701071 , 6.358996665834719
0 , 0.4 , 0.6 , 1 , 20 , 1.6107524414336358 , 6.264452340190534
0 , 0.4 , 0.6 , 5 , 19 , 1.751751078070785 , 6.092053656517445
0 , 0.1 , 0.6 , 0.5 , 24 , 2.1790475990998517 , 8.165057359606612
0 , 0.1 , 0.6 , 1 , 23 , 2.606300119752969 , 8.322103952476356
0 , 0.1 , 0.6 , 5 , 23 , 3.023481943611368 , 8.723793099423979
